"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"1","BottomLeft",0,0,"2016_0517_094802_030A_Moment1","NoTurtle","RH","Upstream",NA
"2","BottomRight",51.2253215593285,0,"2016_0517_094802_030A_Moment1","NoTurtle","RH","Upstream",NA
"3","TopLeft",-33.8803707792581,47.8373904267803,"2016_0517_094802_030A_Moment1","NoTurtle","RH","Upstream",NA
"4","TopRight",87.8156254726674,47.8373904267803,"2016_0517_094802_030A_Moment1","NoTurtle","RH","Upstream",NA
"5","Fish",31.9605847799001,17.2969102447585,"2016_0517_094802_030A_Moment1","NoTurtle","RH","Upstream",NA
"6","BottomLeft",0,0,"2016_0517_094802_030A_Moment2",NA,NA,NA,NA
"7","BottomRight",64.5088995329164,0,"2016_0517_094802_030A_Moment2",NA,NA,NA,NA
"8","TopLeft",-20.3751029764305,39.8214154032609,"2016_0517_094802_030A_Moment2",NA,NA,NA,NA
"9","TopRight",91.7292476546109,39.8214154032609,"2016_0517_094802_030A_Moment2",NA,NA,NA,NA
"10","Fish",34.8290605473667,23.0873626671521,"2016_0517_094802_030A_Moment2",NA,NA,NA,NA
"11","BottomLeft",0,0,"2016_0517_094802_030A_Moment3","NoTurtle","RH","Upstream",NA
"12","BottomRight",78.2859895584023,0,"2016_0517_094802_030A_Moment3","NoTurtle","RH","Upstream",NA
"13","TopLeft",-27.2114202324347,46.3249575402708,"2016_0517_094802_030A_Moment3","NoTurtle","RH","Upstream",NA
"14","TopRight",88.6227866233742,46.3249575402708,"2016_0517_094802_030A_Moment3","NoTurtle","RH","Upstream",NA
"15","Fish",31.4696816592083,4.77189922658546,"2016_0517_094802_030A_Moment3","NoTurtle","RH","Upstream",NA
"16","BottomLeft",0,0,"2016_0517_094802_030A_Moment4","NoTurtle","RH","Downstream",NA
"17","BottomRight",73.7761434917089,0,"2016_0517_094802_030A_Moment4","NoTurtle","RH","Downstream",NA
"18","TopLeft",-15.3005224259633,33.5744695183217,"2016_0517_094802_030A_Moment4","NoTurtle","RH","Downstream",NA
"19","TopRight",94.1953024123989,33.5744695183217,"2016_0517_094802_030A_Moment4","NoTurtle","RH","Downstream",NA
"20","Fish",30.468125823682,1.26238812489315,"2016_0517_094802_030A_Moment4","NoTurtle","RH","Downstream",NA
"21","BottomLeft",0,0,"2016_0517_095802_031A_Moment3","NoTurtle","LMB","Upstream",NA
"22","BottomRight",67.9128234402527,0,"2016_0517_095802_031A_Moment3","NoTurtle","LMB","Upstream",NA
"23","TopLeft",-18.364796754908,38.0349534074581,"2016_0517_095802_031A_Moment3","NoTurtle","LMB","Upstream",NA
"24","TopRight",92.4842814714614,38.0349534074581,"2016_0517_095802_031A_Moment3","NoTurtle","LMB","Upstream",NA
"25","Fish",41.0334251900554,12.6591447667651,"2016_0517_095802_031A_Moment3","NoTurtle","LMB","Upstream",NA
"26","BottomLeft",0,0,"2016_0517_100802_032A_Moment1","NoTurtle","LMB","Downstream",NA
"27","BottomRight",72.9633954558975,0,"2016_0517_100802_032A_Moment1","NoTurtle","LMB","Downstream",NA
"28","TopLeft",-14.2173640054302,37.0227914064877,"2016_0517_100802_032A_Moment1","NoTurtle","LMB","Downstream",NA
"29","TopRight",92.8940951647181,37.0227914064877,"2016_0517_100802_032A_Moment1","NoTurtle","LMB","Downstream",NA
"30","Fish",15.7119775938023,31.5905942684681,"2016_0517_100802_032A_Moment1","NoTurtle","LMB","Downstream",NA
"31","BottomLeft",0,0,"2016_0517_100802_032A_Moment3","NoTurtle","LMB","Upstream",NA
"32","BottomRight",58.4510190598334,0,"2016_0517_100802_032A_Moment3","NoTurtle","LMB","Upstream",NA
"33","TopLeft",-25.8473753229642,55.7918050128451,"2016_0517_100802_032A_Moment3","NoTurtle","LMB","Upstream",NA
"34","TopRight",82.9896047310063,55.7918050128451,"2016_0517_100802_032A_Moment3","NoTurtle","LMB","Upstream",NA
"35","Fish",22.8874689695672,31.6490995074901,"2016_0517_100802_032A_Moment3","NoTurtle","LMB","Upstream",NA
"36","BottomLeft",0,0,"2016_0517_100802_032A_Moment4","NoTurtle","RH","Downstream",NA
