SampleID,SpeciesName,CommonName,Taxa,Tissue,WaterbodyType,Location,Comments,CollectionDate,PIT,Type,Type2
1,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Herring Pond,NA,2016-06-04,226000506281,Plasma,CulvertTurtle
2,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Herring Pond,NA,2016-06-04,226000506281,RBC,CulvertTurtle
3,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,Landlocked,Slough Pond,NA,2016-06-04,NA,Plasma,LandLockedTurtle
4,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,Landlocked,Slough Pond,NA,2016-06-04,NA,RBC,LandLockedTurtle
5,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Herring Pond,NA,2016-06-05,226000506236,Plasma,Uncertain
6,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Herring Pond,NA,2016-06-05,226000506236,RBC,Uncertain
7,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Bound Brook Island Rd,NA,2017-05-05,226000506246,Plasma,Uncertain
8,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Bound Brook Island Rd,NA,2017-05-05,226000506246,RBC,Uncertain
9,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Higgins Pond,Tagged in 2016 but no blood draw that year,2017-05-06,226000506267,Plasma,CulvertTurtle
10,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Higgins Pond,Tagged in 2016 but no blood draw that year,2017-05-06,226000506267,RBC,CulvertTurtle
11,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Higgins Pond,NA,2017-05-06,226000506269,Plasma,CulvertTurtle
11b,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Higgins Pond,NA,2017-05-06,226000506269,RBC,CulvertTurtle
12,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Higgins Pond,NA,2017-05-16,226000506201,Plasma,Uncertain
13,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Higgins Pond,NA,2017-05-16,226000506201,RBC,Uncertain
14,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Higgins Pond,NA,2017-05-25,226000506274,Plasma,CulvertTurtle
15,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Higgins Pond,NA,2017-05-25,226000506274,RBC,CulvertTurtle
16,Chelydra serpentina,Common snapping turtle,Snapping turtle,Whole blood,HR-Connected,Williams Pond,NA,2017-06-12,769125,Whole,Non-culvertTurtle
17,Chelydra serpentina,Common snapping turtle,Snapping turtle,Whole blood,Landlocked,Snow Pond,NA,2017-06-12,226000506262,Whole,LandLockedTurtle
18,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Williams Pond,NA,2017-06-14,769154,Plasma,Non-culvertTurtle
19,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Williams Pond,NA,2017-06-14,769154,RBC,Non-culvertTurtle
20,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Slough Pond,NA,2017-06-16,769197,Plasma,LandLockedTurtle
21,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Slough Pond,NA,2017-06-16,769197,RBC,LandLockedTurtle
22,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,Landlocked,Slough Pond,NA,2017-06-17,769102,Plasma,LandLockedTurtle
23,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,Landlocked,Slough Pond,NA,2017-06-17,769119,RBC,LandLockedTurtle
24,Chelydra serpentina,Common snapping turtle,Snapping turtle,Plasma,HR-Connected,Williams Pond,NA,2017-06-17,769119,Plasma,Non-culvertTurtle
25,Chelydra serpentina,Common snapping turtle,Snapping turtle,RBC,HR-Connected,Williams Pond,NA,2017-06-17,769119,RBC,Non-culvertTurtle
26,Alosa spp.,River herring,River herring,Muscle,HR-Connected,UpstreamMigrant,NA,2017-04-13,NA,RiverHerring,Herring
27,Alosa spp.,River herring,River herring,Muscle,HR-Connected,UpstreamMigrant,NA,2017-04-13,NA,RiverHerring,Herring
28,Alosa spp.,River herring,River herring,Muscle,HR-Connected,UpstreamMigrant,NA,2017-04-13,NA,RiverHerring,Herring
29,Alosa spp.,River herring,River herring,Muscle,HR-Connected,UpstreamMigrant,NA,2017-04-13,NA,RiverHerring,Herring
30,Alosa spp.,River herring,River herring,Muscle,HR-Connected,UpstreamMigrant,NA,2017-04-13,NA,RiverHerring,Herring
31,Alosa spp.,River herring,River herring,Muscle,HR-Connected,UpstreamMigrant,NA,2017-04-13,NA,RiverHerring,Herring
32,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
33,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
34,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
35,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
36,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
37,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
38,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
39,Alosa spp.,River herring,River herring,Muscle,HR-Connected,DownstreamMigrant,NA,2017-05-12,NA,RiverHerring,Herring
