"","StartTime","EndTime","Event","Turtles","ID"
"1","2016-05-17 09:38:01","2016-05-17 12:31:39","CameraOn","0","1"
"2","2016-05-17 12:31:39","2016-05-17 13:13:08","CameraOff",NA,"65"
"3","2016-05-17 13:13:08","2016-05-17 15:22:40","CameraOn","0","2"
"4","2016-05-17 15:22:40","2016-05-17 17:23:26","TurtleArrival","1","2"
"5","2016-05-17 17:23:26","2016-05-18 10:05:21","CameraOff",NA,"66"
"6","2016-05-18 10:05:21","2016-05-18 17:08:09","CameraOn","0","3"
"7","2016-05-18 17:08:09","2016-05-19 11:37:04","CameraOff",NA,"67"
"8","2016-05-19 11:37:04","2016-05-19 14:17:39","CameraOn","0","4"
"9","2016-05-19 14:17:39","2016-05-21 12:16:56","CameraOff",NA,"68"
"10","2016-05-21 12:16:56","2016-05-21 14:19:38","CameraOn","0","5"
"11","2016-05-21 14:19:38","2016-05-21 15:28:30","CameraOff",NA,"69"
"12","2016-05-21 15:28:30","2016-05-21 18:15:31","CameraOn","0","6"
"13","2016-05-21 18:15:31","2016-05-22 12:09:38","CameraOff",NA,"70"
"14","2016-05-22 12:09:38","2016-05-22 12:32:00","CameraOn","2","7"
"15","2016-05-22 12:32:00","2016-05-22 13:15:07","TurtleDeparture","1","7"
"16","2016-05-22 13:15:07","2016-05-22 13:26:00","TurtleArrival","2","7"
"17","2016-05-22 13:26:00","2016-05-22 17:10:00","TurtleDeparture","1","7"
"18","2016-05-22 17:10:00","2016-05-22 17:16:06","TurtleDeparture","0","7"
"19","2016-05-22 17:16:06","2016-05-22 17:37:09","CameraOff",NA,"71"
"20","2016-05-22 17:37:09","2016-05-22 19:37:10","CameraOn","0","8"
"21","2016-05-22 19:37:10","2016-05-23 08:09:17","CameraOff",NA,"72"
"22","2016-05-23 08:09:17","2016-05-23 09:49:18","CameraOn","0","9"
"23","2016-05-23 09:49:18","2016-05-23 12:18:41","CameraOff",NA,"73"
"24","2016-05-23 12:18:41","2016-05-23 16:25:22","CameraOn","0","10"
"25","2016-05-23 16:25:22","2016-05-23 17:00:44","CameraOff",NA,"74"
"26","2016-05-23 17:00:44","2016-05-23 17:36:01","CameraOn","0","11"
"27","2016-05-23 17:36:01","2016-05-23 18:50:45","TurtleArrival","1","11"
"28","2016-05-23 18:50:45","2016-05-24 14:19:07","CameraOff",NA,"75"
"29","2016-05-24 14:19:07","2016-05-24 16:04:00","CameraOn","1","12"
"30","2016-05-24 16:04:00","2016-05-24 18:46:54","TurtleDeparture","0","12"
"31","2016-05-24 18:46:54","2016-05-24 19:10:25","TurtleArrival","1","12"
"32","2016-05-24 19:10:25","2016-05-25 11:54:57","CameraOff",NA,"76"
"33","2016-05-25 11:54:57","2016-05-25 12:42:00","CameraOn","2","13"
"34","2016-05-25 12:42:00","2016-05-25 14:53:00","TurtleDeparture","1","13"
"35","2016-05-25 14:53:00","2016-05-25 15:38:39","TurtleDeparture","0","13"
"36","2016-05-25 15:38:39","2016-05-25 16:04:00","TurtleArrival","1","13"
"37","2016-05-25 16:04:00","2016-05-25 16:43:25","TurtleDeparture","0","13"
"38","2016-05-25 16:43:25","2016-05-25 16:58:55","TurtleArrival","1","13"
"39","2016-05-25 16:58:55","2016-05-25 17:29:39","TurtleArrival","2","13"
"40","2016-05-25 17:29:39","2016-05-26 12:44:00","CameraOff",NA,"77"
"41","2016-05-26 12:44:00","2016-05-26 12:57:34","CameraOn","1","14"
"42","2016-05-26 12:57:34","2016-05-26 13:43:00","TurtleArrival","2","14"
"43","2016-05-26 13:43:00","2016-05-26 13:50:32","TurtleDeparture","1","14"
"44","2016-05-26 13:50:32","2016-05-26 14:05:00","TurtleArrival","2","14"
"45","2016-05-26 14:05:00","2016-05-26 14:51:11","TurtleDeparture","1","14"
"46","2016-05-26 14:51:11","2016-05-26 15:45:00","TurtleArrival","2","14"
"47","2016-05-26 15:45:00","2016-05-26 18:07:13","TurtleDeparture","1","14"
"48","2016-05-26 18:07:13","2016-05-27 14:00:18","CameraOff",NA,"78"
"49","2016-05-27 14:00:18","2016-05-27 15:35:45","CameraOn","1","15"
"50","2016-05-27 15:35:45","2016-05-27 16:10:30","CameraOff",NA,"79"
"51","2016-05-27 16:10:30","2016-05-27 16:36:00","CameraOn","1","16"
"52","2016-05-27 16:36:00","2016-05-27 16:38:23","TurtleDeparture","0","16"
"53","2016-05-27 16:38:23","2016-05-27 16:41:00","TurtleArrival","1","16"
"54","2016-05-27 16:41:00","2016-05-27 16:44:41","TurtleDeparture","0","16"
"55","2016-05-27 16:44:41","2016-05-27 17:32:29","TurtleArrival","1","16"
"56","2016-05-27 17:32:29","2016-05-27 17:33:00","TurtleArrival","2","16"
"57","2016-05-27 17:33:00","2016-05-27 18:44:29","TurtleDeparture","1","16"
"58","2016-05-27 18:44:29","2016-05-27 18:47:00","TurtleArrival","2","16"
"59","2016-05-27 18:47:00","2016-05-27 18:57:34","TurtleDeparture","1","16"
"60","2016-05-27 18:57:34","2016-05-28 09:47:16","CameraOff",NA,"80"
"61","2016-05-28 09:47:16","2016-05-28 14:08:27","CameraOn","0","17"
"62","2016-05-28 14:08:27","2016-05-30 10:27:07","CameraOff",NA,"81"
"63","2016-05-30 10:27:07","2016-05-30 11:41:53","CameraOn","0","18"
"64","2016-05-30 11:41:53","2016-05-30 11:56:00","TurtleArrival","1","18"
"65","2016-05-30 11:56:00","2016-05-30 15:03:34","TurtleDeparture","0","18"
"66","2016-05-30 15:03:34","2016-05-30 16:40:09","CameraOff",NA,"82"
"67","2016-05-30 16:40:09","2016-05-30 17:30:14","CameraOn","0","19"
"68","2016-05-30 17:30:14","2016-05-30 17:41:00","TurtleArrival","1","19"
"69","2016-05-30 17:41:00","2016-05-30 18:56:37","TurtleDeparture","0","19"
"70","2016-05-30 18:56:37","2016-05-31 12:03:26","CameraOff",NA,"83"
"71","2016-05-31 12:03:26","2016-05-31 15:00:44","CameraOn","0","20"
"72","2016-05-31 15:00:44","2016-05-31 15:32:00","TurtleArrival","1","20"
"73","2016-05-31 15:32:00","2016-05-31 16:33:12","TurtleDeparture","0","20"
"74","2016-05-31 16:33:12","2016-05-31 16:37:00","TurtleArrival","1","20"
"75","2016-05-31 16:37:00","2016-05-31 16:37:47","TurtleDeparture","0","20"
"76","2016-05-31 16:37:47","2016-06-01 10:16:42","CameraOff",NA,"84"
"77","2016-06-01 10:16:42","2016-06-01 14:43:01","CameraOn","0","21"
"78","2016-06-01 14:43:01","2016-06-02 11:36:53","CameraOff",NA,"85"
"79","2016-06-02 11:36:53","2016-06-02 14:08:49","CameraOn","1","22"
"80","2016-06-02 14:08:49","2016-06-02 15:24:41","CameraOff",NA,"86"
"81","2016-06-02 15:24:41","2016-06-02 18:15:13","CameraOn","0","23"
"82","2016-06-02 18:15:13","2016-06-03 10:40:50","CameraOff",NA,"87"
"83","2016-06-03 10:40:50","2016-06-03 11:10:00","CameraOn","1","24"
"84","2016-06-03 11:10:00","2016-06-03 11:55:35","TurtleDeparture","0","24"
"85","2016-06-03 11:55:35","2016-06-03 12:10:00","CameraOff",NA,"88"
"86","2016-06-03 12:10:00","2016-06-03 15:03:14","CameraOn","0","25"
"87","2016-06-03 15:03:14","2016-06-03 15:55:30","CameraOff",NA,"89"
"88","2016-06-03 15:55:30","2016-06-03 18:43:12","CameraOn","0","26"
"89","2016-06-03 18:43:12","2016-06-04 08:49:14","CameraOff",NA,"90"
"90","2016-06-04 08:49:14","2016-06-04 10:23:58","CameraOn","0","27"
"91","2016-06-04 10:23:58","2016-06-04 13:17:08","CameraOff",NA,"91"
"92","2016-06-04 13:17:08","2016-06-04 18:25:54","CameraOn","0","28"
"93","2016-06-04 18:25:54","2016-06-06 10:28:48","CameraOff",NA,"92"
"94","2016-06-06 10:28:48","2016-06-06 11:06:20","CameraOn","0","29"
